gene,root_control_1,root_control_2,root_control_3,root_ACC_1,root_ACC_2,root_ACC_3
AT3G59540,22483,21143,20443,19036,19566,18450
AT3G59550,877,888,1055,613,780,891
AT3G59570,861,904,940,1039,704,846
AT3G59580,0,2,5,4,3,4
AT3G59590,0,0,0,0,0,0
AT3G59600,3777,3366,4143,3644,2992,3778
AT3G59610,0,0,0,0,0,0
AT3G59620,0,0,4,0,4,0
AT3G59630,1498,1209,1540,1479,1122,1413
AT3G59640,917,832,1138,1059,757,979
AT3G59650,2386,2308,2460,1978,2087,2086
AT3G59660,5750,4800,7517,6223,4312,6510
AT3G59670,4828,4344,5771,4327,3605,5216
AT3G59680,934,813,1451,1048,724,1124
AT3G59690,2843,1933,4385,2813,1779,2890
AT3G59695,2614,1771,3966,2540,1613,2552
AT3G59700,1443,1405,1717,2003,1225,1409
AT3G59710,459,696,1457,504,603,797
AT3G59730,222,194,270,172,140,267
AT3G59740,81,47,144,76,71,75
AT3G59750,374,326,425,312,337,481
AT3G59760,8008,7843,10791,8861,6386,8222
AT3G59765,2181,2187,2462,2270,1772,1857
AT3G59770,7252,6395,8129,7841,4801,7374
AT3G59780,1119,1008,1302,856,890,1115
AT3G59790,9,7,7,2,0,6
AT3G59800,1272,1188,1706,1394,1180,1337
AT3G59810,1899,1719,2090,1975,1507,1772
AT3G59820,4025,4193,5093,4069,3286,4609
AT3G59830,84,140,174,117,111,168
AT3G59840,1146,1119,1413,1076,1194,1170
AT3G59845,4,3,7,4,3,2
AT3G59850,699,818,1063,742,629,638
AT3G59870,620,593,880,685,591,719
AT3G59880,194,201,374,406,302,332
AT3G59884,0,3,2,5,1,0
AT3G59890,2323,2287,2216,2461,2406,2990
AT3G59900,584,555,846,3781,3065,6039
AT3G59910,7159,6323,6682,7534,5115,6499
AT3G59920,21240,20712,26987,21639,18678,22784
AT3G59923,0,0,0,0,0,0
AT3G59926,0,0,0,0,0,0
AT3G59930,236,124,555,254,86,345
AT3G59940,556,586,701,652,622,775
