,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G14040,0,2.20282605532326,6.72843891945176,3.96895577951203,0,2.05915007987238
AT3G14050,2577.11883140246,2382.35637883211,2411.30429775852,2089.65521791308,1365.03500071237,1966.48832627813
AT3G14060,946.285820905589,985.76465975716,743.492500599419,3762.5700789774,2327.11916597418,1865.58997236438
AT3G14067,6072.33624649204,6376.08001713319,7736.86370250459,4386.68837530567,3743.17378151104,4988.29106849085
AT3G14070,403.68150445015,403.117168124157,375.110469759436,418.724834738519,444.599500613411,470.515793250839
AT3G14075,1366.074318052,1261.11791667257,1452.50175173665,1358.37511553799,1350.45796790537,1387.86715383399
AT3G14080,1997.2670943369,1893.32899455034,2008.43901745635,1878.30832265407,2097.01029094944,1808.96334516789
AT3G14090,1645.93331614961,1560.70226019653,1693.88449797198,1550.86947084432,1432.714081602,1574.22023606244
AT3G14100,6633.06092973077,5553.32448546995,5579.55797395537,6614.26480655679,7252.07382148105,5963.29863131042
AT3G14110,2358.66774295936,2158.7695342168,1913.39981771909,2506.39557476184,2881.04641264007,2267.12423793949
AT3G14120,3705.61500718455,3770.13679368577,3502.15245757464,4174.34924110177,3749.42108128547,4461.14864804352
AT3G14130,1298.62628613639,1251.20519942361,1385.21736254213,1272.0503273336,1501.4343791207,1340.50670199692
AT3G14140,63.4212837415448,80.4031510192991,64.7612245997232,74.4179208658505,89.544630100125,90.6026035143848
AT3G14150,1039.90771595263,984.663246729499,1018.51744143201,992.238944878007,1094.31867715385,990.451188418616
AT3G14160,697.634121156993,670.760533845934,651.817520321889,755.093837052163,810.06653741741,810.275556429783
AT3G14170,203.35078279035,191.645866813124,343.991439756971,164.711664849749,234.273741541025,276.955685742835
AT3G14172,5685.76842178167,5868.32861138117,6243.99131725123,6396.96447762851,5088.42566627105,6051.84208474493
AT3G14180,2654.63373375323,2793.1834381499,2535.78041776838,2651.26246071403,3171.54585215094,2850.89328558331
AT3G14185,32.2139853925307,23.1296735808943,31.1190300024644,41.6740356848763,7.28851640349854,20.5915007987238
